%time,field0,field1,field2,field3,field4,field5
1566412498488122466,4.1e-05,-0.000179,0.0,0.0,0.0,0.0
1566412498493059021,4.1e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498495796084,4.4e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498500338289,4e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498504459746,4.4e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498508306876,4.3e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498512513306,3.9e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498516515649,4.1e-05,-0.000179,0.0,0.0,0.0,0.0
1566412498520339859,4.2e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498524334401,4.3e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498528270104,4.2e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498533122590,4.4e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498536251183,4.5e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498540392754,4.1e-05,-0.000178,0.0,0.0,0.0,0.0
1566412498544021798,4.2e-05,-0.000178,0.0,0.0,0.0,0.0
1566412498548067691,4.2e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498552267697,4e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498556641535,4e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498560106237,4.1e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498564148622,4e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498569154660,4.3e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498572607280,4.6e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498576053207,4.3e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498580133519,4.3e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498585534195,4.2e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498587944972,4.1e-05,-0.000178,0.0,0.0,0.0,0.0
1566412498592750333,4.4e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498596168697,4.5e-05,-0.000178,0.0,0.0,0.0,0.0
1566412498600038955,4.3e-05,-0.000178,0.0,0.0,0.0,0.0
1566412498603984173,4.2e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498608340779,4e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498611864139,4.1e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498616425916,4.2e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498620059741,4.5e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498623926097,4.3e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498628075609,4.2e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498631890326,4.1e-05,-0.000184,0.0,0.0,0.0,0.0
1566412498637614941,4.2e-05,-0.000177,0.0,0.0,0.0,0.0
1566412498640201016,4.4e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498644034545,4.3e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498648112810,4.4e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498654479698,4.2e-05,-0.000184,0.0,0.0,0.0,0.0
1566412498656628651,4.6e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498659978907,4.4e-05,-0.000182,0.0,0.0,0.0,0.0
1566412498664178821,4.1e-05,-0.000183,0.0,0.0,0.0,0.0
1566412498668117019,4.5e-05,-0.000181,0.0,0.0,0.0,0.0
1566412498672304367,4.1e-05,-0.000179,0.0,0.0,0.0,0.0
1566412498676134006,3.9e-05,-0.000179,0.0,0.0,0.0,0.0
1566412498680221265,4.4e-05,-0.00018,0.0,0.0,0.0,0.0
1566412498683972038,4.4e-05,-0.000182,0.0,0.0,0.0,0.0
